Q2,Q3,Q4,Q5,Q6_Bom_status,Q6_Opcao_que_conseguiu,Q6_Mercado_de_trabalho_bom,Q6_Afinidade,Q6_Influencia_dos_amigos,6. influencia dos pais,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q21,Q22,Q23,Q24,Q25,Q26,Y
0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,4500,3700,10,5,0,0,1,10,9,9,7,9.8
1,1,0,2,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1500,925,4,2,0,1,0,8,5,8,8,8
0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,2000,1,4,1,0,0,0,8,4,7,6,8.1
0,2,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,3000,100,10,2,0,0,1,5.5,9.5,8,7,2.0
1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,887,01,8,5,0,0,0,10,10,9,10,7.1
0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1500,100,6,1,1,0,0,8,7,7,8,8.0
0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,10000,1,3,4,0,1,0,8,1,8,8,9
0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,6000,500,3,3,1,0,0,7,7,6,8,7.1
1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,1,5000,500,5,1,0,0,1,8,6,6,5,7.5
0,1,0,2,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1996,10,6,1,0,0,0,9,8,8,9,6.8
0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,5500,400,8,4,1,0,0,10,9,9,7,6.6
0,1,0,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,800,0.1,0,5,0,0,0,8,6,8,8,10
0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,4000,400,16,2,0,0,0,10,8,9,10,8.4
1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,1,8,5,1,0,0,9,4,7,6,8.9
0,1,0,2,0,1,1,1,0,0,0,1,0,1,1,0,1,0,2800,900,4,5,0,0,0,5,5,7,6,5
0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,4000,1,5,3,0,0,0,2,5,5,2,5.0
0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,4000,1,7,2,1,0,0,9,5,5,2,3.3
0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,800,50,8,5,0,0,2,8,6,6,5,7
0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,5000,900,8,4,0,0,0,10,9,10,10,8.7
0,1,0,2,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1000,400,6,2,0,0,0,9,8,9,9,10
0,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,5000,800,3,5,0,0,1,10,6,10,8,8.25
0,1,1,2,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1000,1,4,4,0,0,0,10,0,7,4,8.75
0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,4.000,50,5,5,0,0,2,7,7,8,8,7.2
0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1500,1,3,2,0,0,0,10,6,7,7,8
0,2,0,1,0,0,0,0,0,0,0,0,27,0,0,0,0,0,5,2,1,5,1,1,1,0,0,0,0,1
0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1000,100,2,3,0,0,0,7,7,9,5,5
0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,3,2,0,1,0,9,6,7,7,9.5
0,1,0,2,1,0,1,0,0,0,0,1,0,1,1,0,1,0,400,200,2,4,0,0,0,8,8,8,8,8
0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,2000,1,4,3,0,0,2,10,7,9,4,5.5
1,1,0,2,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1200,400,4,1,0,0,0,10,8,8,8,9.8
0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,2,01,15,5,0,0,0,10,5,8,8,7.5
0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,2000,2000,1,5,1,2,1,6,5,5,4,2
0,2,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,40000,1400,6,2,0,0,0,1,9,8,3,7.4
0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,5000,400,2,1,0,0,0,7,8,8,7,7
0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,5000,3700,20,5,0,0,1,10,9,9,7,9.8
0,1,0,2,0,0,0,1,0,0,0,0,0,1,1,1,0,0,998,01,12,5,1,1,1,9,6,8,7,6.4
1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,7000,300,6,3,1,1,1,4,5,7,5,2.1
0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,5700,400,14,1,0,0,0,1,6,9,8,8.4
0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,5,1,0,0,0,0,5,5,5,9.3
0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,5000,500,8,5,0,1,0,10,7,7,7,9.8
0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,7500,900,6,5,0,0,0,8,4,7,7,10
0,2,0,2,0,0,0,1,0,0,0,1,0,0,1,1,1,1,2000,50,8,2,0,0,0,5,8,8,5,2
0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,998,300,8,1,0,0,0,7,5,8,7,7.2
0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1000,400,10,4,0,0,0,9,8,8,8,10.0
0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,1,20,1,0,0,0,0,6,10,9,9.3
